data,bairro,qtd_casos,regiao
2020-05-02,Setor Bueno,48,Sul
2020-04-29,Setor Bueno,45,Sul
2020-04-30,Setor Bueno,48,Sul
2020-05-03,Setor Bueno,52,Sul
2020-05-11,Setor Bueno,73,Sul
2020-05-16,Setor Bueno,89,Sul
2020-05-17,Setor Bueno,89,Sul
2020-05-18,Setor Bueno,92,Sul
2020-05-21,Setor Bueno,106,Sul
2020-05-01,Setor Bueno,48,Sul
2020-05-04,Setor Bueno,53,Sul
2020-05-05,Setor Bueno,55,Sul
2020-05-06,Setor Bueno,55,Sul
2020-05-07,Setor Bueno,59,Sul
2020-05-08,Setor Bueno,61,Sul
2020-05-09,Setor Bueno,61,Sul
2020-05-10,Setor Bueno,61,Sul
2020-05-12,Setor Bueno,73,Sul
2020-05-13,Setor Bueno,77,Sul
2020-05-14,Setor Bueno,81,Sul
2020-05-15,Setor Bueno,89,Sul
2020-05-19,Setor Bueno,92,Sul
2020-05-20,Setor Bueno,99,Sul
2020-05-22,Setor Bueno,106,Sul
2020-05-23,Setor Bueno,116,Sul
2020-05-24,Setor Bueno,118,Sul
2020-05-25,Setor Bueno,118,Sul
2020-05-26,Setor Bueno,119,Sul
2020-05-27,Setor Bueno,118,Sul
2020-05-28,Setor Bueno,119,Sul
2020-05-29,Setor Bueno,131,Sul
2020-05-30,Setor Bueno,131,Sul
2020-05-31,Setor Bueno,141,Sul
2020-06-01,Setor Bueno,145,Sul
2020-06-02,Setor Bueno,145,Sul
2020-06-03,Setor Bueno,151,Sul
2020-06-04,Setor Bueno,152,Sul
2020-06-05,Setor Bueno,166,Sul
2020-06-06,Setor Bueno,166,Sul
2020-06-07,Setor Bueno,170,Sul
2020-06-08,Setor Bueno,170,Sul
2020-06-09,Setor Bueno,170,Sul
2020-06-10,Setor Bueno,183,Sul
2020-06-11,Setor Bueno,183,Sul
2020-06-12,Setor Bueno,183,Sul
2020-06-13,Setor Bueno,187,Sul
